지역,소재부품장비코드,소재부품장비코드명,사업체수,종업원수,부가가치세금액_백만원,생산금액_백만원,출하금액_백만원,재고금액_백만원
강원,1차 금속제품,15000,13,516,386319,846162,759798,136136
강원,부품,20000,117,5571,813669,2918977,2900341,143533
강원,금속가공제품,21000,9,205,28793,72659,69459,5620
강원,일반기계부품,22000,41,1543,206207,508966,505914,17960
강원,전기장비부품,24000,26,936,138881,749133,732104,67333
강원,전자부품,25000,8,132,16785,32794,32187,6899
강원,정밀기기부품,26000,4,162,16944,42531,41547,3532
강원,수송기계부품,27000,29,2593,406059,1512894,1519130,42189
강원,장비,30000,21,502,75719,169361,167715,8925
강원,산업공정장비,32000,15,321,45842,105778,104014,5936
강원,계측장비,35000,3,61,9808,13392,13959,1374
제주,소재부품장비,00000,30,516,91580,203347,205054,7299
제주,소재,10000,17,226,25816,46200,46062,2209
제주,고무 및 플라스틱제품,13000,3,40,3489,7136,6915,1219
제주,비금속 광물제품,14000,9,131,17106,30352,30218,699
제주,부품,20000,12,280,65077,155777,157622,5090
제주,전기장비부품,24000,8,139,12093,32152,31333,821
